Name,Brand,Price,Product_URL,Image_URL
'Phantom Kick$' Jeans-Sneakers,Philipp Plein,875 €,https://www.farfetch.com//de/shopping/men/philipp-plein-phantom-kick-jeans-sneakers-item-15522316.aspx,https://cdn-images.farfetch-contents.com/14/24/74/74/14247474_20351891_300.jpg
'BOOST 380' Sneakers,adidas YEEZY,344 €,https://www.farfetch.com//de/shopping/men/adidas-yeezy-boost-380-sneakers-item-15646643.aspx,https://cdn-images.farfetch-contents.com/15/68/92/05/15689205_29096786_300.jpg
'Phantom Kick$' Sneakers,Philipp Plein,422 €,https://www.farfetch.com//de/shopping/men/philipp-plein-phantom-kick-sneakers-item-15541449.aspx,https://cdn-images.farfetch-contents.com/15/68/92/05/15689205_29098136_300.jpg
Talon sneakers,Giuseppe Zanotti,580 €,https://www.farfetch.com//de/shopping/men/giuseppe-zanotti-talon-sneakers-item-15557007.aspx,https://cdn-images.farfetch-contents.com/15/96/73/54/15967354_29666542_300.jpg
'Track.2 Open' Sneakers,Balenciaga,750 €,https://www.farfetch.com//de/shopping/men/balenciaga-track2-open-sneakers-item-15367962.aspx,https://cdn-images.farfetch-contents.com/15/96/73/54/15967354_29666543_300.jpg
Cowboystiefel mit Blockabsatz,Dsquared2,900 €,https://www.farfetch.com//de/shopping/men/dsquared2-cowboystiefel-mit-blockabsatz-item-15405935.aspx,https://cdn-images.farfetch-contents.com/15/68/93/85/15689385_29074461_300.jpg
'Comfort Craftsman' Chelsea-Boots,R.M.Williams,450 €,https://www.farfetch.com//de/shopping/men/rmwilliams-comfort-craftsman-chelsea-boots-item-14947371.aspx,https://cdn-images.farfetch-contents.com/15/68/93/85/15689385_29072614_300.jpg
buckle ankle boots,AMIRI,1.180 €,https://www.farfetch.com//de/shopping/men/amiri-buckle-ankle-boots-item-15822774.aspx,https://cdn-images.farfetch-contents.com/15/96/41/79/15964179_29695366_300.jpg
'Tread' Chelsea-Boots,Alexander McQueen,690 €,https://www.farfetch.com//de/shopping/men/alexander-mcqueen-tread-chelsea-boots-item-15779855.aspx,https://cdn-images.farfetch-contents.com/15/96/41/79/15964179_29695364_300.jpg
Valentino Garavani 'Rockstud' Sneakers,Valentino Garavani,540 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-valentino-garavani-rockstud-sneakers-item-15496670.aspx,https://cdn-images.farfetch-contents.com/15/95/97/82/15959782_29664662_300.jpg
'Phantom' Sneakers,Philipp Plein,1.875 €,https://www.farfetch.com//de/shopping/men/philipp-plein-phantom-sneakers-item-15389069.aspx,https://cdn-images.farfetch-contents.com/15/95/97/82/15959782_29664664_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,https://www.farfetch.com//de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280755.aspx,https://cdn-images.farfetch-contents.com/15/81/41/62/15814162_29561747_300.jpg
'Basketball' High-Top-Sneakers,Maison Margiela,790 €,https://www.farfetch.com//de/shopping/men/maison-margiela-basketball-high-top-sneakers-item-15487934.aspx,https://cdn-images.farfetch-contents.com/15/81/41/62/15814162_29563101_300.jpg
'BV Level' Loafer,Bottega Veneta,650 €,https://www.farfetch.com//de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx,https://cdn-images.farfetch-contents.com/15/88/07/00/15880700_29338758_300.jpg
'Comporta' Loafer mit Haken,Edhen Milano,720 €,https://www.farfetch.com//de/shopping/men/edhen-milano-comporta-loafer-mit-haken-item-15588863.aspx,https://cdn-images.farfetch-contents.com/15/88/07/00/15880700_29338763_300.jpg
Loafer mit Tabi-Kappe,Maison Margiela,664 €,https://www.farfetch.com//de/shopping/men/maison-margiela-loafer-mit-tabi-kappe-item-15819261.aspx,https://cdn-images.farfetch-contents.com/15/52/45/03/15524503_29234897_300.jpg
Loafer mit Quasten,Magnanni,465 €,https://www.farfetch.com//de/shopping/men/magnanni-loafer-mit-quasten-item-15589402.aspx,https://cdn-images.farfetch-contents.com/15/52/45/03/15524503_29234898_300.jpg
'Air Jordan 1 High OG Bio Hack' Sneakers,Jordan,420 €,https://www.farfetch.com//de/shopping/men/jordan-air-jordan-1-high-og-bio-hack-sneakers-item-15817659.aspx,https://cdn-images.farfetch-contents.com/15/75/03/59/15750359_29224218_300.jpg
